step,train/teacher_ssp_loss,train/teacher_ssp_acc,val/teacher_ssp_loss,val/teacher_ssp_acc,train/ce_loss,train/kd_loss,train/tf_loss,train/ss_loss,train/cls_acc,train/ss_acc,val/ce_loss,val/cls_acc
1,11.6329984664917,0.0,,,4.0756425857543945,11.001968383789062,7.13712739944458,0.21383725106716156,11.057999610900879,0.005499999970197678,,
2,11.114006042480469,0.004999999888241291,,,2.8246448040008545,7.279667377471924,4.806492805480957,0.17868992686271667,30.354000091552734,0.023499999195337296,,
3,10.803967475891113,0.012000000104308128,,,2.2971465587615967,5.610265731811523,3.8269965648651123,0.14963440597057343,41.45199966430664,0.060499999672174454,,
4,10.576805114746094,0.013500000350177288,,,2.031625270843506,4.8290791511535645,3.3734781742095947,0.12761883437633514,47.099998474121094,0.09350000321865082,,
5,10.4055814743042,0.01549999974668026,10.971187591552734,0.0,1.8900727033615112,4.410200119018555,3.125967264175415,0.11089009791612625,50.45399856567383,0.125,2.345635175704956,46.209999084472656
6,10.275519371032715,0.03200000151991844,,,1.779970407485962,4.108482360839844,2.950115442276001,0.09886182099580765,52.50600051879883,0.15150000154972076,,
7,10.175793647766113,0.027499999850988388,,,1.7117658853530884,3.9034922122955322,2.848475217819214,0.09034571796655655,54.374000549316406,0.1665000021457672,,
8,10.09819221496582,0.03400000184774399,,,1.6615278720855713,3.7559921741485596,2.771312952041626,0.08466547727584839,55.805999755859375,0.19900000095367432,,
9,10.038043022155762,0.04149999842047691,,,1.6218297481536865,3.6335082054138184,2.694952964782715,0.08000708371400833,56.58599853515625,0.20250000059604645,,
10,9.994301795959473,0.03449999913573265,11.00083065032959,0.009999999776482582,1.5875167846679688,3.5494701862335205,2.655775785446167,0.0775756761431694,57.18199920654297,0.21899999678134918,2.1786110401153564,50.86000061035156
11,9.954277992248535,0.048500001430511475,,,1.5658594369888306,3.4723265171051025,2.617452383041382,0.07545892149209976,57.77399826049805,0.22450000047683716,,
12,9.927908897399902,0.04800000041723251,,,1.5331807136535645,3.3899505138397217,2.570495843887329,0.07372166961431503,58.534000396728516,0.23600000143051147,,
13,9.90517520904541,0.06400000303983688,,,1.5205235481262207,3.3530988693237305,2.548658609390259,0.07234262675046921,58.88999938964844,0.2565000057220459,,
14,9.884772300720215,0.05050000175833702,,,1.4988943338394165,3.3071115016937256,2.5191597938537598,0.071280837059021,59.279998779296875,0.2639999985694885,,
