step,train/teacher_ssp_loss,train/teacher_ssp_acc,val/teacher_ssp_loss,val/teacher_ssp_acc,train/ce_loss,train/kd_loss,train/tf_loss,train/ss_loss,train/cls_acc,train/ss_acc,val/ce_loss,val/cls_acc
1,2.563800096511841,27.257999420166016,,,4.278744220733643,12.154890060424805,7.273274898529053,0.20537889003753662,6.2779998779296875,25.160499572753906,,
2,2.5149085521698,27.888999938964844,,,3.3980565071105957,9.170641899108887,5.448286533355713,0.1621493697166443,19.690000534057617,26.72800064086914,,
3,2.5151500701904297,27.913999557495117,,,2.688215732574463,6.998722553253174,4.260630130767822,0.14456117153167725,32.47600173950195,27.423500061035156,,
4,2.5184645652770996,27.882999420166016,,,2.281215190887451,5.698822975158691,3.5877695083618164,0.13607314229011536,41.07400131225586,27.875499725341797,,
5,2.522942543029785,27.793500900268555,2.6085667610168457,26.225000381469727,2.054760456085205,4.977475166320801,3.2093658447265625,0.12942394614219666,46.34000015258789,28.066999435424805,2.2668392658233643,46.369998931884766
6,2.5174272060394287,27.857500076293945,,,1.8953776359558105,4.5213799476623535,2.9707634449005127,0.12461374700069427,49.68199920654297,28.295000076293945,,
7,2.5276315212249756,27.721500396728516,,,1.7851725816726685,4.194361209869385,2.7908387184143066,0.12033332139253616,52.599998474121094,28.491500854492188,,
8,2.5146474838256836,27.941499710083008,,,1.727154016494751,4.01958703994751,2.7075281143188477,0.11868593841791153,53.869998931884766,28.350500106811523,,
9,2.523834705352783,27.800500869750977,,,1.6688867807388306,3.8332605361938477,2.610506296157837,0.1185326874256134,55.02199935913086,28.499500274658203,,
10,2.526216983795166,27.74250030517578,2.649050235748291,26.962499618530273,1.6180790662765503,3.6960744857788086,2.531958818435669,0.11510894447565079,56.55799865722656,28.56800079345703,2.076141595840454,50.709999084472656
11,2.52067494392395,27.839500427246094,,,1.5917441844940186,3.61173677444458,2.4883358478546143,0.11584579199552536,56.80400085449219,28.59149932861328,,
12,2.5243539810180664,27.668500900268555,,,1.5559450387954712,3.5344111919403076,2.4413774013519287,0.112997867166996,57.683998107910156,28.64900016784668,,
13,2.5238754749298096,27.866500854492188,,,1.5249741077423096,3.456876277923584,2.4028525352478027,0.11145077645778656,58.55799865722656,28.75200080871582,,
14,2.5231270790100098,27.800500869750977,,,1.508481502532959,3.4029829502105713,2.3654842376708984,0.11283707618713379,58.689998626708984,28.663000106811523,,
15,2.518625497817993,27.863000869750977,2.626136541366577,26.354999542236328,1.4932677745819092,3.3647620677948,2.348477602005005,0.11217398196458817,59.215999603271484,28.66550064086914,2.0091922283172607,53.88999938964844
16,2.5242273807525635,27.687000274658203,,,1.4683674573898315,3.3051488399505615,2.3177475929260254,0.11118599772453308,59.79399871826172,28.649499893188477,,
17,2.519761800765991,27.86750030517578,,,1.4667527675628662,3.2929744720458984,2.315558671951294,0.11103444546461105,59.891998291015625,28.743000030517578,,
18,2.5145323276519775,27.9950008392334,,,1.450776219367981,3.240192174911499,2.2809219360351562,0.1101580560207367,60.108001708984375,28.781999588012695,,
19,2.5213849544525146,27.90250015258789,,,1.438805341720581,3.2033424377441406,2.2609941959381104,0.11199409514665604,60.417999267578125,28.73900032043457,,
20,2.519965887069702,27.8174991607666,2.6522724628448486,24.392499923706055,1.4180936813354492,3.163741111755371,2.2371857166290283,0.1087144985795021,60.6619987487793,28.761499404907227,1.7479827404022217,57.02000045776367
21,2.523827075958252,27.738000869750977,,,1.4160500764846802,3.167720317840576,2.2411258220672607,0.10939342528581619,60.80400085449219,28.719999313354492,,
22,2.5198822021484375,27.897499084472656,,,1.40839421749115,3.1180341243743896,2.2159993648529053,0.10759278386831284,61.02199935913086,28.826000213623047,,
23,2.5222678184509277,27.81450080871582,,,1.3988615274429321,3.112399101257324,2.208550453186035,0.10829049348831177,61.178001403808594,28.866500854492188,,
24,2.5173697471618652,27.910999298095703,,,1.3947815895080566,3.1084301471710205,2.2112159729003906,0.10723571479320526,61.534000396728516,28.863500595092773,,
25,2.5205886363983154,27.836000442504883,2.6583597660064697,24.385000228881836,1.3963005542755127,3.0877246856689453,2.1968929767608643,0.10775147378444672,61.39799880981445,28.74799919128418,1.9650858640670776,55.34000015258789
26,2.5219016075134277,27.671499252319336,,,1.391334056854248,3.091247320175171,2.201253890991211,0.10829643905162811,61.58000183105469,28.85300064086914,,
27,2.522714138031006,27.885499954223633,,,1.3756858110427856,3.043609142303467,2.177650213241577,0.1082993894815445,61.89400100708008,28.850500106811523,,
28,2.5191659927368164,27.80500030517578,,,1.3702127933502197,3.0345449447631836,2.162160634994507,0.105814628303051,61.95800018310547,28.895000457763672,,
29,2.5172204971313477,27.785999298095703,,,1.365942358970642,3.0084800720214844,2.15044903755188,0.10654805600643158,62.04800033569336,28.922500610351562,,
30,2.522270441055298,27.881999969482422,2.583472490310669,26.979999542236328,1.3588917255401611,3.019932746887207,2.159799098968506,0.10657669603824615,62.22800064086914,28.83099937438965,1.700528621673584,58.779998779296875
31,2.4447503089904785,28.99850082397461,,,1.3655486106872559,3.009462833404541,2.1531031131744385,0.10744728147983551,62.16600036621094,28.757999420166016,,
32,2.4385764598846436,29.01099967956543,,,1.3547526597976685,3.0180232524871826,2.158324718475342,0.10724879801273346,62.27000045776367,28.799999237060547,,
33,2.438180685043335,29.131500244140625,,,1.3475487232208252,2.9786746501922607,2.1301541328430176,0.10853752493858337,62.66600036621094,28.83300018310547,,
34,2.439572334289551,29.12700080871582,,,1.3509716987609863,2.969940185546875,2.1274545192718506,0.1059463620185852,62.45600128173828,28.87299919128418,,
35,2.4394278526306152,29.090499877929688,2.515885353088379,27.84000015258789,1.3481645584106445,2.9717485904693604,2.131819248199463,0.10707741975784302,62.4640007019043,28.897499084472656,2.0287861824035645,53.619998931884766
36,2.4401445388793945,29.058000564575195,,,1.341393232345581,2.9400103092193604,2.114530324935913,0.10652860254049301,62.577999114990234,28.937999725341797,,
37,2.439211130142212,29.14150047302246,,,1.3448351621627808,2.952021360397339,2.1165146827697754,0.10684029012918472,62.49599838256836,28.89150047302246,,
38,2.4380202293395996,29.181499481201172,,,1.3310227394104004,2.9193267822265625,2.1023507118225098,0.10502386093139648,63.04600143432617,28.889999389648438,,
39,2.4379940032958984,29.18400001525879,,,1.3265736103057861,2.929100275039673,2.1047468185424805,0.10568448901176453,62.933998107910156,28.996999740600586,,
40,2.43758487701416,29.159500122070312,2.5256052017211914,27.887500762939453,1.335659146308899,2.937504768371582,2.1104605197906494,0.10698793083429337,62.81999969482422,28.82900047302246,1.8689543008804321,55.689998626708984
41,2.436336040496826,29.06999969482422,,,1.3185063600540161,2.9006643295288086,2.0913782119750977,0.10549195110797882,63.36600112915039,28.894500732421875,,
42,2.437734603881836,29.2189998626709,,,1.338265299797058,2.9429471492767334,2.1145405769348145,0.10773006826639175,62.60200119018555,28.84000015258789,,
43,2.4408223628997803,29.11949920654297,,,1.3179742097854614,2.916356086730957,2.0951287746429443,0.10622702538967133,63.35200119018555,28.861499786376953,,
44,2.4409902095794678,29.148000717163086,,,1.319392204284668,2.8831675052642822,2.075376272201538,0.10602105408906937,63.02199935913086,28.851999282836914,,
45,2.442385196685791,29.023500442504883,2.513817071914673,27.642499923706055,1.3223000764846802,2.9218499660491943,2.1026692390441895,0.1058821827173233,63.15399932861328,28.902000427246094,2.1245086193084717,53.97999954223633
46,2.4314124584198,29.324499130249023,,,1.3231496810913086,2.9005603790283203,2.092533826828003,0.10542279481887817,63.20600128173828,29.018999099731445,,
47,2.4327809810638428,29.308000564575195,,,1.3169687986373901,2.8758461475372314,2.0752735137939453,0.10581744462251663,63.236000061035156,28.98200035095215,,
48,2.433353900909424,29.29199981689453,,,1.3197873830795288,2.8674161434173584,2.0709664821624756,0.1043483167886734,63.34199905395508,29.04599952697754,,
49,2.432189464569092,29.280000686645508,,,1.306699514389038,2.8505947589874268,2.059725284576416,0.1053302139043808,63.5880012512207,28.931499481201172,,
50,2.432530403137207,29.375,2.504854679107666,28.162500381469727,1.3138935565948486,2.8879177570343018,2.081726312637329,0.10479085147380829,63.417999267578125,28.958999633789062,1.7706416845321655,57.11000061035156
51,2.433429718017578,29.34000015258789,,,1.3051027059555054,2.85351824760437,2.0614521503448486,0.10423150658607483,63.534000396728516,28.983999252319336,,
52,2.432101249694824,29.29599952697754,,,1.3006765842437744,2.8596012592315674,2.065653085708618,0.10450322926044464,63.61399841308594,28.971500396728516,,
53,2.4332098960876465,29.359500885009766,,,1.3138129711151123,2.861057996749878,2.0643622875213623,0.10411980748176575,63.433998107910156,29.0314998626709,,
54,2.4328742027282715,29.28849983215332,,,1.3031452894210815,2.858332872390747,2.0640828609466553,0.10484793782234192,63.72200012207031,28.95949935913086,,
55,2.432795286178589,29.287500381469727,2.509614944458008,27.892499923706055,1.309605360031128,2.85555100440979,2.0628485679626465,0.10375448316335678,63.65599822998047,28.95050048828125,1.7003995180130005,59.63999938964844
56,2.4325509071350098,29.433500289916992,,,1.304166316986084,2.861377477645874,2.0657858848571777,0.10473348200321198,63.50400161743164,29.045499801635742,,
57,2.4339356422424316,29.30500030517578,,,1.3033941984176636,2.8449513912200928,2.0550293922424316,0.1049814447760582,63.650001525878906,28.88800048828125,,
58,2.4313459396362305,29.39900016784668,,,1.3050836324691772,2.849254608154297,2.056034803390503,0.10380980372428894,63.45199966430664,29.035499572753906,,
59,2.433124542236328,29.37350082397461,,,1.298554539680481,2.8440699577331543,2.063124179840088,0.10415858030319214,63.59400177001953,29.006999969482422,,
60,2.432662010192871,29.27050018310547,2.498958110809326,28.200000762939453,1.2965692281723022,2.849541664123535,2.051502227783203,0.10471070557832718,63.720001220703125,29.00149917602539,1.8253287076950073,57.29999923706055
61,,,,,1.2922226190567017,2.8130428791046143,2.033721923828125,0.1051020398736,63.847999572753906,28.947500228881836,,
62,,,,,1.2963666915893555,2.831908702850342,2.0459537506103516,0.10708030313253403,63.816001892089844,28.947999954223633,,
63,,,,,1.294602870941162,2.8214709758758545,2.0374016761779785,0.10412062704563141,63.86600112915039,28.892000198364258,,
64,,,,,1.2988229990005493,2.823192834854126,2.04783034324646,0.10422267764806747,63.459999084472656,28.9064998626709,,
65,,,,,1.2924987077713013,2.8037869930267334,2.0306172370910645,0.10469032824039459,63.99399948120117,28.890499114990234,1.755454659461975,58.470001220703125
66,,,,,1.2843796014785767,2.801755905151367,2.030390977859497,0.10545457899570465,63.790000915527344,28.93549919128418,,
67,,,,,1.2883403301239014,2.806439161300659,2.041063070297241,0.10515744984149933,64.02400207519531,28.89299964904785,,
68,,,,,1.2884339094161987,2.8227016925811768,2.041691303253174,0.10461234301328659,63.986000061035156,28.889999389648438,,
69,,,,,1.27432119846344,2.7981812953948975,2.03021240234375,0.10183187574148178,64.24600219726562,28.961000442504883,,
