step,train/teacher_ssp_loss,train/teacher_ssp_acc,val/teacher_ssp_loss,val/teacher_ssp_acc,train/ce_loss,train/kd_loss,train/tf_loss,train/ss_loss,train/cls_acc,train/ss_acc,val/ce_loss,val/cls_acc
1,1.240772008895874,41.7140007019043,,,4.398137092590332,12.84949779510498,7.8542866706848145,0.10591759532690048,4.5960001945495605,31.043500900268555,,
2,1.2332603931427002,42.22600173950195,,,3.5683841705322266,9.968132019042969,6.139163970947266,0.09065309911966324,16.013999938964844,34.12049865722656,,
3,1.230695128440857,42.31549835205078,,,2.8312864303588867,7.652761936187744,4.85215950012207,0.08170393109321594,29.18000030517578,36.23649978637695,,
4,1.2285290956497192,42.507999420166016,,,2.310410737991333,6.071950912475586,3.963580846786499,0.07728630304336548,39.6879997253418,37.89649963378906,,
5,1.230446457862854,42.28950119018555,1.2897934913635254,38.85499954223633,1.9954525232315063,5.069247722625732,3.415769338607788,0.07037150114774704,46.555999755859375,39.27399826049805,2.5843749046325684,42.83000183105469
6,1.2261830568313599,42.59049987792969,,,1.812131643295288,4.483133316040039,3.095763683319092,0.06709113717079163,50.68000030517578,39.84149932861328,,
7,1.227187991142273,42.618499755859375,,,1.7062417268753052,4.150448322296143,2.917219877243042,0.06460201740264893,53.5880012512207,40.08100128173828,,
8,1.2302700281143188,42.329498291015625,,,1.6195977926254272,3.887288808822632,2.7662882804870605,0.06268639862537384,55.27399826049805,40.51900100708008,,
9,1.228775978088379,42.35499954223633,,,1.5673290491104126,3.731300115585327,2.676900863647461,0.0621025376021862,56.51599884033203,40.46200180053711,,
10,1.2289414405822754,42.38600158691406,1.2258820533752441,42.772499084472656,1.5276533365249634,3.5805318355560303,2.602294683456421,0.060209956020116806,57.50600051879883,40.84049987792969,1.8798179626464844,53.13999938964844
11,1.2315196990966797,42.45650100708008,,,1.4896914958953857,3.4777238368988037,2.5371017456054688,0.06172025203704834,58.513999938964844,40.699501037597656,,
12,1.2294301986694336,42.425498962402344,,,1.4637267589569092,3.413717269897461,2.4995245933532715,0.0599859282374382,58.96799850463867,40.829498291015625,,
13,1.2294256687164307,42.416500091552734,,,1.4318591356277466,3.32645320892334,2.451352834701538,0.06074468418955803,59.742000579833984,40.82749938964844,,
14,1.2292029857635498,42.458499908447266,,,1.4139357805252075,3.2554166316986084,2.4057869911193848,0.05824846401810646,60.05400085449219,40.936500549316406,,
15,1.2286454439163208,42.41600036621094,1.253933072090149,41.02750015258789,1.4027467966079712,3.241133689880371,2.400266408920288,0.05907488614320755,60.529998779296875,40.9635009765625,2.0294554233551025,52.9900016784668
16,1.2295012474060059,42.38850021362305,,,1.3868557214736938,3.186434030532837,2.3678650856018066,0.05687331780791283,61.099998474121094,41.31700134277344,,
17,1.2274786233901978,42.558998107910156,,,1.3720816373825073,3.1448752880096436,2.3418078422546387,0.05858704820275307,61.23400115966797,41.1614990234375,,
18,1.2289807796478271,42.582000732421875,,,1.36097252368927,3.1038246154785156,2.3213067054748535,0.05704745277762413,61.54600143432617,40.93899917602539,,
19,1.228715181350708,42.3484992980957,,,1.3439568281173706,3.079447031021118,2.302375078201294,0.05644161254167557,61.875999450683594,41.21900177001953,,
20,1.229044795036316,42.47549819946289,1.2618606090545654,40.970001220703125,1.3375729322433472,3.0649826526641846,2.2997629642486572,0.05994764715433121,62.08399963378906,40.9375,1.7124557495117188,56.810001373291016
21,1.2282130718231201,42.5265007019043,,,1.3249666690826416,3.0206074714660645,2.266866683959961,0.05731475353240967,62.507999420166016,41.03850173950195,,
22,1.2284598350524902,42.38249969482422,,,1.3165791034698486,3.013981819152832,2.267930746078491,0.05830443277955055,62.5620002746582,41.03950119018555,,
23,1.227871060371399,42.449501037597656,,,1.3106449842453003,2.9779155254364014,2.2454004287719727,0.0586908794939518,62.72800064086914,40.94449996948242,,
24,1.2288661003112793,42.45899963378906,,,1.3079469203948975,2.9597325325012207,2.232374668121338,0.056065525859594345,62.97999954223633,41.22949981689453,,
25,1.2279309034347534,42.435001373291016,1.2450493574142456,41.6150016784668,1.3026885986328125,2.9389612674713135,2.223229169845581,0.056598301976919174,62.92399978637695,41.19900131225586,1.9739381074905396,54.36000061035156
26,1.229352593421936,42.32350158691406,,,1.3001476526260376,2.927164077758789,2.2168402671813965,0.057149097323417664,63.082000732421875,41.111000061035156,,
27,1.2294385433197021,42.38249969482422,,,1.288956642150879,2.8985202312469482,2.200836658477783,0.05672771856188774,63.40399932861328,41.095001220703125,,
28,1.2280023097991943,42.58150100708008,,,1.2829872369766235,2.8916187286376953,2.1998002529144287,0.05709430202841759,63.5620002746582,41.18000030517578,,
29,1.2283316850662231,42.45600128173828,,,1.285243272781372,2.903996706008911,2.2038216590881348,0.05535304546356201,63.604000091552734,41.38850021362305,,
30,1.2281829118728638,42.407501220703125,1.228449821472168,42.345001220703125,1.2721102237701416,2.866694688796997,2.1881651878356934,0.05769026279449463,63.652000427246094,41.165000915527344,1.53407883644104,60.08000183105469
31,1.2063077688217163,43.92250061035156,,,1.2705849409103394,2.8620500564575195,2.179894208908081,0.056759998202323914,63.874000549316406,41.10200119018555,,
32,1.2048815488815308,43.9010009765625,,,1.274970293045044,2.8482370376586914,2.1705925464630127,0.05607593432068825,63.75400161743164,41.311500549316406,,
33,1.204643726348877,43.97850036621094,,,1.2728891372680664,2.872547149658203,2.1834893226623535,0.05721036344766617,63.7239990234375,41.05400085449219,,
34,1.2055449485778809,43.96549987792969,,,1.2684264183044434,2.863008737564087,2.17893648147583,0.05500643327832222,63.768001556396484,41.36600112915039,,
35,1.2064645290374756,43.84000015258789,1.218005895614624,42.977500915527344,1.2655314207077026,2.8316190242767334,2.1579084396362305,0.055754050612449646,63.97999954223633,41.135501861572266,1.7076483964920044,57.70000076293945
36,1.2058327198028564,43.936500549316406,,,1.2589874267578125,2.821601152420044,2.1571171283721924,0.05546998232603073,64.08200073242188,41.18349838256836,,
37,1.2057198286056519,43.91849899291992,,,1.2619930505752563,2.823093891143799,2.151930093765259,0.05567214637994766,63.85599899291992,41.35150146484375,,
38,1.2056567668914795,43.91749954223633,,,1.2517324686050415,2.800621271133423,2.14396071434021,0.056363850831985474,64.31400299072266,41.229000091552734,,
