step,train/cls_loss,train/cls_acc,val/cls_loss,val/cls_acc
1,4.579853057861328,6.2220001220703125,4.265888214111328,9.1899995803833
2,3.8654792308807373,14.51099967956543,3.4835422039031982,20.420000076293945
3,3.5568130016326904,19.540000915527344,3.4113669395446777,21.959999084472656
4,3.349565267562866,23.358999252319336,3.407982110977173,23.280000686645508
5,3.201528787612915,26.13599967956543,3.2732932567596436,26.170000076293945
6,3.081303596496582,28.38800048828125,3.0807814598083496,28.8799991607666
7,2.9907660484313965,30.367000579833984,2.848543643951416,32.540000915527344
8,2.921349048614502,31.614999771118164,2.959785223007202,31.549999237060547
9,2.8676984310150146,32.632999420166016,3.0018770694732666,31.6200008392334
10,2.822380542755127,33.67300033569336,3.1120665073394775,31.1299991607666
11,2.788665294647217,34.558998107910156,2.892547130584717,33.900001525878906
12,2.7529842853546143,35.29100036621094,2.909172296524048,33.66999816894531
13,2.73872447013855,35.452999114990234,2.737372398376465,36.650001525878906
14,2.7143588066101074,35.8650016784668,2.835634469985962,34.77000045776367
15,2.6987998485565186,36.21500015258789,2.7022361755371094,37.45000076293945
16,2.678922414779663,36.86000061035156,2.802314519882202,34.88999938964844
17,2.666924476623535,37.0880012512207,2.788440704345703,35.93000030517578
18,2.6574392318725586,37.26900100708008,2.699765920639038,37.88999938964844
19,2.648590326309204,37.459999084472656,2.567748546600342,39.599998474121094
20,2.626791477203369,38.013999938964844,2.6509246826171875,37.84000015258789
21,2.620718240737915,38.08599853515625,2.687617778778076,38.20000076293945
22,2.613438367843628,37.96500015258789,3.0585033893585205,33.40999984741211
23,2.604978561401367,38.29999923706055,2.809227466583252,36.33000183105469
24,2.60261869430542,38.34600067138672,2.9093799591064453,33.65999984741211
25,2.593926429748535,38.63399887084961,2.8287031650543213,35.130001068115234
26,2.585111141204834,38.7869987487793,2.7087857723236084,37.16999816894531
27,2.577457904815674,38.827999114990234,2.6596832275390625,38.560001373291016
28,2.5788142681121826,38.6510009765625,2.670732259750366,39.61000061035156
29,2.583892345428467,38.694000244140625,2.654308795928955,38.34000015258789
30,2.5746638774871826,39.05699920654297,2.7722904682159424,36.5099983215332
31,2.5565907955169678,39.15299987792969,2.7247884273529053,37.56999969482422
32,2.560309410095215,39.340999603271484,2.879725933074951,34.119998931884766
33,2.5576817989349365,39.41999816894531,2.5786149501800537,38.970001220703125
34,2.550497055053711,39.46500015258789,2.5945241451263428,39.11000061035156
35,2.54978346824646,39.347999572753906,2.754425287246704,37.310001373291016
36,2.545565605163574,39.67100143432617,2.6709280014038086,38.7400016784668
37,2.54288911819458,39.47999954223633,3.005624294281006,34.150001525878906
38,2.5452990531921387,39.70000076293945,2.5628089904785156,39.849998474121094
39,2.5425450801849365,39.77000045776367,2.829957962036133,36.150001525878906
40,2.5331547260284424,39.619998931884766,2.7789571285247803,37.40999984741211
41,2.536550283432007,39.6349983215332,2.642256259918213,38.7400016784668
42,2.534677505493164,39.77000045776367,2.8534929752349854,34.91999816894531
43,2.5282130241394043,39.91400146484375,2.6741485595703125,38.459999084472656
44,2.528809070587158,39.986000061035156,2.7018001079559326,38.41999816894531
45,2.5324559211730957,39.69499969482422,2.676919460296631,38.880001068115234
46,2.5251808166503906,39.82400131225586,2.67169451713562,38.31999969482422
47,2.5235955715179443,40.03200149536133,2.651409864425659,38.63999938964844
48,2.5230846405029297,39.99399948120117,2.7532413005828857,36.650001525878906
49,2.517670154571533,40.111000061035156,2.8073596954345703,37.04999923706055
50,2.520977735519409,40.007999420166016,2.4968340396881104,41.20000076293945
51,2.506976366043091,40.43899917602539,2.8512349128723145,36.33000183105469
52,2.517632246017456,40.13800048828125,2.464444398880005,41.9900016784668
53,2.514655590057373,40.071998596191406,2.6235456466674805,38.90999984741211
54,2.511646270751953,40.137001037597656,2.697096347808838,38.58000183105469
55,2.5027916431427,40.3849983215332,2.579935073852539,39.220001220703125
56,2.5134198665618896,40.26900100708008,2.6724209785461426,38.18000030517578
57,2.50506854057312,40.369998931884766,2.6074042320251465,39.22999954223633
58,2.505859375,40.42599868774414,2.7303147315979004,38.779998779296875
59,2.5108802318573,40.47600173950195,2.4993245601654053,40.88999938964844
60,2.5056700706481934,40.34400177001953,2.5981593132019043,39.75
61,1.8931989669799805,53.792999267578125,1.7112244367599487,57.88999938964844
62,1.6948007345199585,57.84600067138672,1.6587016582489014,59.540000915527344
63,1.6143670082092285,59.441001892089844,1.6255807876586914,59.560001373291016
64,1.5482953786849976,61.00299835205078,1.6211636066436768,60.2599983215332
65,1.5018848180770874,61.93899917602539,1.636829137802124,59.86000061035156
66,1.4575693607330322,62.78200149536133,1.619361162185669,60.220001220703125
67,1.424385905265808,63.65800094604492,1.6024086475372314,60.90999984741211
68,1.3888680934906006,64.4800033569336,1.6211631298065186,60.31999969482422
69,1.3658416271209717,64.96700286865234,1.6456761360168457,60.38999938964844
70,1.3471027612686157,65.26300048828125,1.657822608947754,59.7400016784668
71,1.3327805995941162,65.62100219726562,1.6960489749908447,58.77000045776367
72,1.3197039365768433,65.87699890136719,1.6908690929412842,59.380001068115234
73,1.3011072874069214,66.31099700927734,1.7128450870513916,59.47999954223633
74,1.2925028800964355,66.48999786376953,1.7116819620132446,59.52000045776367
75,1.2764382362365723,66.88300323486328,1.777966856956482,58.15999984741211
76,1.2651983499526978,66.76399993896484,1.7384231090545654,58.61000061035156
77,1.262503743171692,67.00399780273438,1.7384699583053589,58.900001525878906
78,1.2529314756393433,67.1050033569336,1.750093698501587,59.09000015258789
79,1.2287474870681763,67.79900360107422,1.7748852968215942,58.7400016784668
80,1.2266989946365356,67.83499908447266,1.7635895013809204,58.88999938964844
81,1.207825779914856,68.37200164794922,1.804459810256958,58.20000076293945
82,1.2018629312515259,68.44100189208984,1.7980742454528809,58.599998474121094
83,1.191957712173462,68.73999786376953,1.804243564605713,58.619998931884766
84,1.1824697256088257,68.90599822998047,1.7960160970687866,58.45000076293945
85,1.1667536497116089,69.2770004272461,1.8657505512237549,57.27000045776367
86,1.162649393081665,69.28600311279297,1.807161808013916,58.77000045776367
87,1.1489957571029663,69.69000244140625,1.8199210166931152,58.209999084472656
88,1.144752860069275,69.697998046875,1.8365108966827393,58.16999816894531
89,1.1291766166687012,70.08899688720703,1.8223028182983398,58.02000045776367
90,1.1246570348739624,70.36599731445312,1.8359416723251343,58.27000045776367
91,0.8392114639282227,78.22899627685547,1.5682083368301392,63.86000061035156
92,0.7491956949234009,80.5989990234375,1.54667329788208,63.7599983215332
93,0.712614893913269,81.76399993896484,1.5449721813201904,63.939998626708984
94,0.6785308718681335,82.64700317382812,1.5495890378952026,63.91999816894531
95,0.6552375555038452,83.375,1.5560388565063477,64.08000183105469
96,0.6373350024223328,83.77999877929688,1.5548186302185059,63.77000045776367
97,0.6226877570152283,84.30500030517578,1.559788703918457,64.05000305175781
98,0.6071057319641113,84.68399810791016,1.558341383934021,64.05999755859375
99,0.5921622514724731,85.02200317382812,1.5639616250991821,64.0
100,0.5809972286224365,85.24800109863281,1.5656895637512207,63.97999954223633
101,0.5704653263092041,85.60800170898438,1.5722720623016357,63.88999938964844
102,0.5581885576248169,85.88899993896484,1.5773288011550903,63.81999969482422
103,0.5498109459877014,86.18299865722656,1.5891667604446411,63.63999938964844
104,0.5387899875640869,86.51799774169922,1.5862011909484863,63.7599983215332
105,0.5339516997337341,86.51300048828125,1.5882346630096436,64.05000305175781
106,0.5248920917510986,86.76399993896484,1.5934802293777466,63.849998474121094
107,0.515738308429718,86.97899627685547,1.5948431491851807,63.880001068115234
108,0.508065938949585,87.35900115966797,1.5919700860977173,63.70000076293945
109,0.4973181188106537,87.58300018310547,1.5980826616287231,63.650001525878906
110,0.48924192786216736,87.83399963378906,1.6072371006011963,63.619998931884766
111,0.469739705324173,88.42400360107422,1.5880749225616455,63.86000061035156
112,0.460378497838974,88.63200378417969,1.5896250009536743,63.81999969482422
113,0.4565303325653076,88.76100158691406,1.5875694751739502,63.66999816894531
114,0.4565317928791046,88.7490005493164,1.5918656587600708,63.68000030517578
115,0.4534092843532562,88.76699829101562,1.5926762819290161,63.779998779296875
116,0.4538387954235077,88.75299835205078,1.590571641921997,63.88999938964844
117,0.44821783900260925,89.01799774169922,1.5905625820159912,63.810001373291016
118,0.4486390948295593,88.9280014038086,1.585525631904602,63.90999984741211
119,0.4497085213661194,88.94000244140625,1.5896471738815308,63.7599983215332
120,0.44901400804519653,88.95600128173828,1.5885268449783325,63.970001220703125
121,0.4452344477176666,89.05599975585938,1.5892138481140137,63.810001373291016
122,0.44615858793258667,88.93299865722656,1.5817809104919434,63.880001068115234
123,0.439409464597702,89.26799774169922,1.5928354263305664,63.650001525878906
124,0.4434737265110016,89.08999633789062,1.5927419662475586,63.959999084472656
125,0.4396611750125885,89.18499755859375,1.5874216556549072,63.900001525878906
126,0.44167453050613403,89.18000030517578,1.5901684761047363,63.709999084472656
127,0.43965035676956177,89.20099639892578,1.5898433923721313,63.900001525878906
128,0.4418197274208069,89.05699920654297,1.5905526876449585,63.86000061035156
129,0.4412662088871002,89.26300048828125,1.5949879884719849,63.630001068115234
130,0.4368445575237274,89.41999816894531,1.599670171737671,63.4900016784668
131,0.4346622824668884,89.33200073242188,1.5941107273101807,63.72999954223633
132,0.43501338362693787,89.31999969482422,1.5848127603530884,63.93000030517578
133,0.43873196840286255,89.22899627685547,1.5974037647247314,63.75
134,0.43265238404273987,89.47799682617188,1.5943448543548584,63.90999984741211
135,0.43649905920028687,89.38999938964844,1.5970076322555542,63.470001220703125
136,0.4310324788093567,89.4010009765625,1.6011221408843994,63.959999084472656
137,0.42958423495292664,89.50599670410156,1.598080039024353,63.65999984741211
138,0.4293452501296997,89.52999877929688,1.5859882831573486,63.7599983215332
139,0.42773714661598206,89.65599822998047,1.6031233072280884,63.779998779296875
140,0.4290176033973694,89.50800323486328,1.598056674003601,63.689998626708984
141,0.38544073700904846,89.3499984741211,2.178842306137085,55.560001373291016
142,0.36905691027641296,89.91300201416016,2.1799466609954834,55.5099983215332
143,0.36479848623275757,89.91899871826172,2.2217330932617188,55.689998626708984
144,0.3698044717311859,89.83100128173828,2.202362060546875,55.849998474121094
145,0.3630957305431366,89.96600341796875,2.190080165863037,56.02000045776367
146,0.35908499360084534,90.1050033569336,2.247960090637207,55.22999954223633
147,0.36230355501174927,90.01699829101562,2.201685667037964,56.060001373291016
148,0.35535234212875366,90.25,2.25736927986145,55.029998779296875
149,0.35649412870407104,90.25299835205078,2.101167917251587,56.65999984741211
150,0.34222283959388733,90.66300201416016,2.263054609298706,55.869998931884766
151,0.16820135712623596,96.1719970703125,1.8984285593032837,60.939998626708984
152,0.11313197761774063,97.87799835205078,1.8709853887557983,61.400001525878906
153,0.09543473273515701,98.4020004272461,1.8700984716415405,61.529998779296875
154,0.08540906757116318,98.62899780273438,1.86119544506073,61.470001220703125
155,0.07824084907770157,98.84300231933594,1.8643310070037842,61.810001373291016
156,0.07189370691776276,99.04900360107422,1.8481098413467407,62.0
157,0.06675612926483154,99.19400024414062,1.8481277227401733,62.02000045776367
158,0.06363574415445328,99.25399780273438,1.8440951108932495,62.11000061035156
159,0.06026159226894379,99.30699920654297,1.8377735614776611,61.9900016784668
160,0.057513486593961716,99.33699798583984,1.8400996923446655,61.90999984741211
161,0.05521393194794655,99.43099975585938,1.8297045230865479,62.099998474121094
162,0.05316302180290222,99.447998046875,1.824416160583496,62.189998626708984
163,0.050862766802310944,99.52300262451172,1.832250952720642,61.75
164,0.04966336488723755,99.5530014038086,1.8159401416778564,62.02000045776367
165,0.048986852169036865,99.54399871826172,1.8094971179962158,62.119998931884766
166,0.04744146764278412,99.60199737548828,1.828789234161377,62.06999969482422
167,0.046240001916885376,99.60399627685547,1.8174203634262085,62.209999084472656
168,0.044886596500873566,99.67400360107422,1.8243944644927979,62.16999816894531
169,0.04385458305478096,99.64600372314453,1.8220850229263306,61.970001220703125
170,0.04431246221065521,99.63999938964844,1.816707730293274,62.22999954223633
171,0.04182738810777664,99.71900177001953,1.8053828477859497,62.20000076293945
172,0.04199596121907234,99.71499633789062,1.8156836032867432,62.33000183105469
173,0.041037458926439285,99.71099853515625,1.810858964920044,62.5
174,0.040297731757164,99.7229995727539,1.7999569177627563,62.2599983215332
175,0.04052791744470596,99.7229995727539,1.797537088394165,62.27000045776367
176,0.03898070752620697,99.76000213623047,1.7883435487747192,62.25
177,0.038712818175554276,99.75599670410156,1.791610598564148,62.66999816894531
178,0.03824411332607269,99.78700256347656,1.7880522012710571,62.150001525878906
179,0.03749176859855652,99.7750015258789,1.7889881134033203,62.31999969482422
180,0.038016874343156815,99.76499938964844,1.7902239561080933,62.220001220703125
181,0.03709883615374565,99.79000091552734,1.7923415899276733,62.31999969482422
182,0.036608655005693436,99.81700134277344,1.7901514768600464,62.27000045776367
183,0.03608924522995949,99.81999969482422,1.783674716949463,62.310001373291016
184,0.03664760664105415,99.8219985961914,1.7758992910385132,62.18000030517578
185,0.03625078499317169,99.81999969482422,1.7781922817230225,62.38999938964844
186,0.03596596047282219,99.81800079345703,1.7794524431228638,62.060001373291016
187,0.03517686203122139,99.83499908447266,1.7740774154663086,62.369998931884766
188,0.03597439453005791,99.80400085449219,1.776535153388977,62.290000915527344
189,0.035085950046777725,99.83300018310547,1.7742502689361572,62.279998779296875
190,0.03475021943449974,99.8499984741211,1.7722980976104736,62.20000076293945
191,0.03470990061759949,99.83999633789062,1.7792164087295532,62.16999816894531
192,0.034330252557992935,99.8479995727539,1.7731387615203857,62.41999816894531
193,0.033990565687417984,99.87200164794922,1.7729848623275757,62.2599983215332
194,0.033732764422893524,99.86599731445312,1.768917441368103,62.150001525878906
195,0.03400055691599846,99.85099792480469,1.763973593711853,62.349998474121094
196,0.03367665037512779,99.86000061035156,1.7591595649719238,62.36000061035156
197,0.03313286602497101,99.87200164794922,1.765249490737915,62.439998626708984
198,0.03343696519732475,99.8740005493164,1.7558308839797974,62.369998931884766
199,0.033092327415943146,99.86799621582031,1.7642433643341064,62.369998931884766
200,0.03299205005168915,99.86900329589844,1.7580902576446533,62.40999984741211
201,0.03221622481942177,99.87300109863281,1.7491728067398071,62.52000045776367
202,0.03148325905203819,99.88999938964844,1.7607970237731934,62.43000030517578
203,0.03144838660955429,99.89099884033203,1.7593319416046143,62.5
204,0.03200816735625267,99.89600372314453,1.7598117589950562,62.15999984741211
205,0.031434085220098495,99.89399719238281,1.7521671056747437,62.5
206,0.03096132166683674,99.88800048828125,1.7534162998199463,62.439998626708984
207,0.03116460330784321,99.88200378417969,1.7537190914154053,62.29999923706055
208,0.03111358918249607,99.88800048828125,1.7579346895217896,62.4900016784668
209,0.030800750479102135,99.9010009765625,1.754919409751892,62.47999954223633
210,0.031190300360322,99.88800048828125,1.7496769428253174,62.470001220703125
211,0.03142543137073517,99.88800048828125,1.7594515085220337,62.41999816894531
